time,sensor_AccelerometerX[],sensor_AccelerometerY[],sensor_AccelerometerZ[],sensor_GyroscopeX[],sensor_GyroscopeY[],sensor_GyroscopeZ[],label_shakestill_STILL,label_shakestill_shake
1659956799269,-0.4,4.7,8.9,,,,x,
1659956799278,,,,-0.03665191429188092,-0.03316125578789226,0.0017453292519943296,x,
1659956799295,-0.5,4.6000000000000005,8.8,,,,x,
1659956799314,-0.2,4.800000000000001,8.4,,,,x,
1659956799315,,,,0.003490658503988659,0.054105206811824215,0.03665191429188092,x,
1659956799334,,,,0.006981317007977318,0.054105206811824215,0.05061454830783556,x,
1659956799349,-0.2,4.800000000000001,8.3,,,,x,
1659956799364,,,,0.026179938779914945,0.017453292519943295,0.04014257279586958,x,
1659956799383,-0.30000000000000004,4.800000000000001,8.200000000000001,,,,x,
1659956799384,,,,0.026179938779914945,0.005235987755982989,0.022689280275926284,x,
1659956799400,-0.1,4.9,8.3,,,,x,
1659956799401,,,,-0.008726646259971648,0.003490658503988659,0.024434609527920613,x,
1659956799429,-0.1,4.800000000000001,8.4,,,,x,
1659956799433,,,,-0.03316125578789226,-0.031415926535897934,0.0017453292519943296,x,
1659956799449,-0.2,4.800000000000001,8.5,,,,x,
1659956799458,,,,-0.029670597283903602,-0.022689280275926284,-0.0017453292519943296,x,
1659956799473,-0.30000000000000004,4.800000000000001,8.6,,,,x,
1659956799490,-0.1,4.800000000000001,8.700000000000001,,,,x,
1659956799493,,,,-0.017453292519943295,-0.04188790204786391,0.010471975511965978,x,
1659956799509,-0.1,4.800000000000001,8.8,,,,x,
1659956799513,,,,-0.008726646259971648,-0.010471975511965978,0.006981317007977318,x,
1659956799529,-0.1,4.800000000000001,8.700000000000001,,,,x,
1659956799549,-0.30000000000000004,4.800000000000001,8.6,,,,x,
1659956799553,,,,0.020943951023931956,0.019198621771937624,-0.015707963267948967,x,
1659956799574,-0.4,4.7,8.6,0.027925268031909273,0.015707963267948967,-0.015707963267948967,x,
1659956799660,,,,0.029670597283903602,0.05585053606381855,0.017453292519943295,x,
1659956799669,-0.4,4.800000000000001,8,,,,x,
1659956799674,,,,0.012217304763960306,0.05235987755982989,0.020943951023931956,x,
1659956799691,-0.30000000000000004,4.800000000000001,7.9,,,,x,
1659956799693,,,,0.003490658503988659,-0.0017453292519943296,0.022689280275926284,x,
1659956799858,-0.30000000000000004,4.7,8.6,-0.04188790204786391,0.017453292519943295,0.020943951023931956,x,
1659956799866,-0.2,4.800000000000001,8.4,,,,x,
1659956799867,,,,-0.027925268031909273,0.013962634015954637,0.03665191429188092,x,
1659956799899,-0.1,4.800000000000001,8.3,0.029670597283903602,-0.061086523819801536,0.03665191429188092,x,
1659956799914,,,,-0.054105206811824215,-0.015707963267948967,0.03316125578789226,x,
1659956799929,0,4.9,8.6,,,,x,
1659956799934,,,,-0.09075712110370514,0.003490658503988659,0.031415926535897934,x,
1659956799949,0,4.9,8.8,,,,x,
1659956799966,,,,-0.0471238898038469,-0.020943951023931956,0.019198621771937624,x,
1659956799969,0.1,4.9,8.9,,,,x,
1659956799977,,,,0.029670597283903602,-0.03839724354387525,0.005235987755982989,x,
1659956799994,0.1,5,8.5,0.05759586531581288,-0.027925268031909273,-0.005235987755982989,x,
1659956800033,0.1,4.9,8.6,,,,x,
1659956800034,,,,0.024434609527920613,0.003490658503988659,-0.022689280275926284,x,
1659956800049,0,4.9,8.700000000000001,,,,x,
1659956800053,,,,-0.020943951023931956,0.04014257279586958,-0.05235987755982989,x,
1659956800069,-0.1,4.800000000000001,8.6,,,,x,
1659956800073,,,,-0.017453292519943295,0.06283185307179587,-0.07504915783575618,x,
1659956800181,,,,-0.026179938779914945,0.03839724354387525,-0.054105206811824215,x,
1659956800196,-0.5,4.6000000000000005,8.4,-0.015707963267948967,0.05235987755982989,-0.022689280275926284,x,
1659956800213,,,,0.031415926535897934,0.010471975511965978,0,x,
1659956800230,-0.5,4.6000000000000005,8.3,,,,x,
1659956800233,,,,0.0471238898038469,-0.005235987755982989,0.008726646259971648,x,
1659956800249,-0.5,4.6000000000000005,8.4,,,,x,
1659956800269,-0.4,4.6000000000000005,8.700000000000001,,,,x,
1659956800279,,,,-0.048869219055841226,0.017453292519943295,0.026179938779914945,x,
1659956800294,-0.2,4.800000000000001,8.6,-0.03316125578789226,0.012217304763960306,0.0471238898038469,x,
1659956800329,-0.2,4.9,8.1,,,,x,
1659956800333,,,,0.059341194567807204,0.059341194567807204,0.04537856055185257,x,
1659956800349,-0.2,4.9,7.800000000000001,,,,x,
1659956800354,,,,0.020943951023931956,0.008726646259971648,0.04014257279586958,x,
1659956800369,-0.1,5,8.1,,,,x,
1659956800389,-0.1,4.9,8.4,,,,x,
1659956800394,,,,-0.006981317007977318,-0.05061454830783556,0.017453292519943295,x,
1659956800410,-0.30000000000000004,4.800000000000001,8.5,,,,x,
1659956800413,,,,-0.024434609527920613,-0.048869219055841226,-0.012217304763960306,x,
1659956800429,-0.4,4.6000000000000005,8.6,,,,x,
1659956800434,,,,-0.03490658503988659,-0.03316125578789226,-0.026179938779914945,x,
1659956800450,-0.4,4.6000000000000005,8.700000000000001,,,,x,
1659956800454,,,,0.008726646259971648,-0.020943951023931956,0.006981317007977318,x,
1659956800472,-0.5,4.6000000000000005,8.5,,,,x,
1659956800490,-0.30000000000000004,4.7,8.4,,,,x,
1659956800494,,,,0.04363323129985824,-0.022689280275926284,0.031415926535897934,x,
1659956800510,-0.1,5,8.1,,,,x,
1659956800515,,,,0.059341194567807204,-0.026179938779914945,0.05759586531581288,x,
1659956800530,0,5,8.200000000000001,,,,x,
1659956800534,,,,0.03316125578789226,-0.020943951023931956,0.06283185307179587,x,
1659956800550,0,5,8.4,,,,x,
1659956800554,,,,-0.031415926535897934,-0.008726646259971648,0.04014257279586958,x,
1659956800570,0,4.800000000000001,8.700000000000001,,,,x,
1659956800575,,,,-0.06981317007977318,-0.012217304763960306,0.006981317007977318,x,
1659956800930,-0.2,4.800000000000001,8.700000000000001,,,,x,
1659956800934,,,,-0.005235987755982989,-0.008726646259971648,0.003490658503988659,x,
1659956800949,-0.2,4.800000000000001,8.6,,,,x,
1659956800953,,,,0.010471975511965978,-0.015707963267948967,0,x,
1659956800969,-0.2,4.800000000000001,8.700000000000001,,,,x,
1659956800980,,,,0.019198621771937624,-0.026179938779914945,-0.006981317007977318,x,
1659956800989,-0.2,4.800000000000001,8.700000000000001,,,,x,
1659956801002,,,,0.024434609527920613,-0.0017453292519943296,-0.010471975511965978,x,
1659956801016,-0.30000000000000004,4.6000000000000005,8.5,0.022689280275926284,0.024434609527920613,-0.015707963267948967,x,
1659956801049,-0.30000000000000004,4.7,8.4,,,,x,
1659956801053,,,,0.015707963267948967,0.05235987755982989,0.013962634015954637,x,
1659956801069,-0.30000000000000004,4.7,8.3,,,,x,
1659956801082,,,,0.019198621771937624,0.027925268031909273,0.015707963267948967,x,
1659956801089,-0.4,4.7,8.3,,,,x,
1659956801098,,,,0.013962634015954637,0.010471975511965978,0.008726646259971648,x,
1659956801113,-0.4,4.7,8.3,,,,x,
1659956801114,,,,0,0.005235987755982989,0.010471975511965978,x,
1659956801149,-0.2,4.800000000000001,8.200000000000001,-0.006981317007977318,0.013962634015954637,0.029670597283903602,x,
1659956801169,-0.1,4.800000000000001,8,,,,x,
1659956801180,,,,0.013962634015954637,-0.003490658503988659,0.05235987755982989,x,
1659956801189,-0.2,4.800000000000001,8,,,,x,
1659956801199,,,,-0.05061454830783556,-0.04363323129985824,0.020943951023931956,x,
1659956801217,-0.2,4.800000000000001,8.6,,,,x,
1659956801218,,,,-0.0645771823237902,-0.08377580409572782,0.024434609527920613,x,
1659956801233,,,,-0.048869219055841226,-0.08552113334772216,0.03316125578789226,x,
1659956801249,-0.1,4.800000000000001,8.6,,,,x,
1659956801254,,,,-0.04188790204786391,-0.06806784082777885,0.03316125578789226,x,
1659956801269,-0.1,4.800000000000001,8.700000000000001,,,,x,
1659956801277,,,,-0.05235987755982989,-0.020943951023931956,0.03490658503988659,x,
1659956801289,0,4.800000000000001,8.700000000000001,,,,x,
1659956801294,,,,-0.027925268031909273,-0.026179938779914945,0.031415926535897934,x,
1659956801309,0,4.800000000000001,8.700000000000001,,,,x,
1659956801313,,,,-0.003490658503988659,-0.04363323129985824,0.013962634015954637,x,
1659956801329,-0.1,4.800000000000001,8.700000000000001,,,,x,
1659956801409,-0.1,4.7,8.4,,,,x,
1659956801414,,,,0.027925268031909273,-0.012217304763960306,0.010471975511965978,x,
1659956801429,-0.1,4.800000000000001,8.3,,,,x,
1659956801434,,,,0.019198621771937624,0,0.006981317007977318,x,
1659956801449,-0.1,4.800000000000001,8.3,,,,x,
1659956801469,-0.1,4.800000000000001,8.4,,,,x,
1659956801474,,,,-0.027925268031909273,0.005235987755982989,-0.0017453292519943296,x,
1659956801489,-0.1,4.800000000000001,8.4,,,,x,
1659956801494,,,,-0.04537856055185257,0.015707963267948967,-0.010471975511965978,x,
1659956801509,-0.2,4.7,8.3,,,,x,
1659956801529,-0.1,4.7,8.5,,,,x,
1659956801534,,,,-0.03839724354387525,-0.022689280275926284,-0.013962634015954637,x,
1659956801549,-0.2,4.6000000000000005,8.6,,,,x,
1659956801950,-1.2000000000000002,4.5,9.9,,,,,
1659956801953,,,,0.2775073510670984,-0.11344640137963143,-0.09599310885968813,,
1659956801969,1,6.1000000000000005,10.3,,,,,x
1659956801981,,,,0.3420845333908886,0.23911010752322315,0.17278759594743862,,x
1659956801989,0.8,5.5,11.8,,,,,x
1659956802007,,,,0.7679448708775051,0.3193952531149623,-0.153588974175501,,x
